month,B_localTEMP_avg,B_localTEMP_std,B_GWLFTEMP_avg,B_GWLFTEMP_std,B_GWLFPRCP_avg,B_GWLFPRCP_std,N_localTEMP_avg,N_localTEMP_std,N_GWLFTEMP_avg,N_GWLFTEMP_std,N_GWLFPRCP_avg,N_GWLFPRCP_std,A_localTEMP_avg,A_localTEMP_std,A_GWLFTEMP_avg,A_GWLFTEMP_std,A_GWLFPRCP_avg,A_GWLFPRCP_std
1,12.64,0.38,11.91,0.25,26.62,6.71,14.07,0.33,13.46,0.05,50.53,18.91,14.98,0.34,14.51,0.14,102.24,34.95
2,12.86,0.42,12.41,0.31,33.87,16.79,14.26,0.35,13.83,0.09,68.15,21.49,16.34,0.47,16.13,0.43,120.57,47.09
3,14.81,0.40,14.45,0.32,90.59,35.50,16.26,0.39,15.86,0.08,143.34,38.03,17.01,0.34,16.59,0.08,188.82,58.64
4,18.81,0.36,18.02,0.03,102.75,30.05,19.84,0.45,19.24,0.18,153.82,44.38,20.95,0.31,20.46,0.11,206.00,52.05
5,22.57,0.31,21.70,0.07,169.31,53.53,23.01,0.28,22.18,0.05,235.85,54.43,23.71,0.32,22.86,0.06,284.38,73.72
6,24.03,0.26,23.61,0.19,216.05,59.02,24.93,0.19,24.38,0.10,310.17,73.09,25.93,0.15,25.37,0.12,396.00,124.80
7,26.23,0.13,25.17,0.01,241.20,58.61,26.76,0.13,25.55,0.04,353.95,122.14,27.20,0.13,25.93,0.04,417.35,163.36
8,25.93,0.14,24.86,0.05,124.78,27.93,26.51,0.16,25.43,0.05,256.77,112.42,26.93,0.13,26.03,0.09,490.36,229.20
9,24.26,0.21,23.72,0.18,137.36,31.36,25.06,0.16,24.37,0.08,255.97,119.18,26.34,0.15,25.80,0.13,607.72,338.49
10,21.21,0.27,20.64,0.19,81.34,34.98,22.06,0.22,21.56,0.16,240.83,109.40,23.62,0.27,23.31,0.22,281.85,138.92
11,18.87,0.35,18.26,0.06,52.38,22.26,19.45,0.36,18.87,0.17,89.92,25.32,20.58,0.30,20.14,0.20,134.02,58.29
12,14.35,0.35,13.71,0.12,51.88,15.08,15.26,0.41,14.72,0.13,82.15,26.80,16.66,0.37,16.00,0.21,118.50,42.19