,very low/low,low/slightly low,slightly low/proper,proper/slightly high,slightly high/high,high/very high
Storage_Limit_1,7481,11600,16803,-,-,-
Storage_Limit_2,7481,11600,16803,-,-,-
Storage_Limit_3,6221,9933,15291,-,-,-
Storage_Limit_4,4330,7433,13024,-,-,-
Storage_Limit_5,3700,6600,10756,-,-,-
Storage_Limit_6,3700,6600,10000,-,-,-
Storage_Limit_7,3700,6600,10000,-,-,-
Storage_Limit_8,3700,6600,10000,-,-,-
Storage_Limit_9,3700,6600,11512,-,-,-
Storage_Limit_10,3700,6600,13779,-,-,-
Storage_Limit_11,4892,8267,16047,-,-,-
Storage_Limit_12,6895,10767,16803,-,-,-
Demand_1,-,-,50,-,-,-
Demand_2,-,-,480,-,-,-
Demand_3,-,-,520,-,-,-
Demand_4,-,-,470,-,-,-
Demand_5,-,-,450,-,-,-
Demand_6,-,-,470,-,-,-
Demand_7,-,-,540,-,-,-
Demand_8,-,-,540,-,-,-
Demand_9,-,-,460,-,-,-
Demand_10,-,-,490,-,-,-
Demand_11,-,-,370,-,-,-
Demand_12,-,-,50,-,-,-