Time,Hazard,1天後_day,1天後_night,2天後_day,2天後_night,3天後_day,3天後_night,4天後_day,4天後_night,5天後_day,5天後_night,6天後_day,6天後_night,7天後_day,7天後_night
2021-06-07 16:05,高溫,green,orange,green,yellow,yellow,orange,green,yellow,green,yellow,yellow,yellow,,
2021-06-07 16:05,低溫,green,green,green,green,green,green,green,green,green,green,green,green,,
2021-06-07 16:05,高濕,orange,orange,orange,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,,
2021-06-07 16:05,強風,green,green,green,green,green,green,green,green,green,green,green,green,,
2021-06-07 16:05,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-07 16:05,高溫,green,yellow,green,yellow,green,orange,yellow,yellow,green,yellow,green,orange,,
2021-06-07 16:05,低溫,green,green,green,green,green,green,green,green,green,green,green,green,,
2021-06-07 16:05,高濕,orange,orange,orange,orange,orange,orange,yellow,orange,orange,orange,orange,orange,,
2021-06-07 16:05,強風,green,green,green,green,green,green,green,green,green,green,green,green,,
2021-06-07 16:05,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-07 16:49,高溫,green,orange,green,yellow,green,orange,green,orange,yellow,orange,green,orange
2021-06-07 16:49,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-07 16:49,高濕,orange,orange,orange,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-07 16:49,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-07 16:49,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-07 22:23,高溫,green,yellow,green,yellow,green,yellow,green,yellow,green,yellow,green,orange,yellow,orange
2021-06-07 22:23,低溫,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-07 22:23,高濕,orange,red,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,yellow,orange
2021-06-07 22:23,強風,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-07 22:23,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-07 22:24,高溫,green,yellow,green,orange,green,yellow,green,orange,green,orange,green,orange,green,orange
2021-06-07 22:24,低溫,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-07 22:24,高濕,orange,orange,orange,orange,yellow,orange,yellow,orange,yellow,orange,orange,orange,orange,orange
2021-06-07 22:24,強風,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-07 22:24,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-07 22:32,高溫,green,yellow,green,yellow,green,orange,green,yellow,yellow,orange,green,yellow,green,yellow,green
2021-06-07 22:32,低溫,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-07 22:32,高濕,orange,orange,red,yellow,orange,yellow,orange,yellow,orange,orange,orange,orange,orange,yellow,orange
2021-06-07 22:32,強風,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-07 22:32,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-07 22:35,高溫,green,yellow,green,yellow,green,orange,green,orange,green,yellow,green,yellow,green,yellow,green
2021-06-07 22:35,低溫,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-07 22:35,高濕,red,orange,red,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,orange,orange
2021-06-07 22:35,強風,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-07 22:35,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-25 23:55,高溫,green,orange,yellow,orange,yellow,orange,yellow,orange,yellow,red,yellow,orange,yellow,red,yellow
2021-06-25 23:55,低溫,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-25 23:55,高濕,yellow,yellow,yellow,yellow,yellow,green,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,yellow
2021-06-25 23:55,強風,green,green,green,green,yellow,green,green,green,green,green,green,yellow,green,green,green
2021-06-25 23:55,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-25 23:57,高溫,green,orange,yellow,orange,yellow,red,yellow,red,yellow,orange,yellow,orange,yellow,orange,yellow
2021-06-25 23:57,低溫,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-25 23:57,高濕,orange,green,yellow,green,yellow,green,yellow,green,yellow,yellow,yellow,yellow,orange,yellow,yellow
2021-06-25 23:57,強風,green,green,green,green,green,yellow,green,green,green,green,green,yellow,green,green,green
2021-06-25 23:57,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-25 23:57,高溫,green,orange,yellow,orange,yellow,red,yellow,red,yellow,red,yellow,orange,yellow,orange,yellow
2021-06-25 23:57,低溫,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-25 23:57,高濕,orange,yellow,yellow,yellow,yellow,yellow,yellow,green,yellow,green,yellow,yellow,yellow,yellow,orange
2021-06-25 23:57,強風,green,green,green,green,green,yellow,green,yellow,green,green,green,yellow,green,green,green
2021-06-25 23:57,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 14:27,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 14:27,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 14:27,高濕,yellow,yellow,yellow,yellow,green,yellow,green,yellow,yellow,yellow,yellow,yellow
2021-06-26 14:27,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 14:27,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 14:33,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 14:33,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 14:33,高濕,green,yellow,yellow,yellow,green,yellow,yellow,yellow,yellow,orange,yellow,yellow
2021-06-26 14:33,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 14:33,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:05,高溫,yellow,orange,yellow,orange,yellow,red,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:05,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:05,高濕,yellow,yellow,yellow,yellow,green,yellow,green,yellow,yellow,yellow,green,yellow
2021-06-26 16:05,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:05,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:07,高溫,yellow,orange,yellow,orange,yellow,red,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:07,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:07,高濕,green,yellow,green,yellow,green,yellow,green,yellow,yellow,yellow,yellow,yellow
2021-06-26 16:07,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:07,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:07,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:07,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:07,高濕,yellow,yellow,green,yellow,yellow,yellow,green,yellow,yellow,yellow,yellow,yellow
2021-06-26 16:07,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:07,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:08,高溫,yellow,orange,yellow,orange,yellow,red,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:08,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:08,高濕,yellow,yellow,yellow,yellow,green,green,green,yellow,yellow,yellow,yellow,yellow
2021-06-26 16:08,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:08,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:08,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:08,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:08,高濕,green,yellow,yellow,yellow,yellow,green,green,yellow,green,yellow,yellow,yellow
2021-06-26 16:08,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:08,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:09,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:09,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:09,高濕,green,yellow,green,yellow,green,green,green,yellow,yellow,yellow,green,orange
2021-06-26 16:09,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:09,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:10,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:10,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:10,高濕,yellow,yellow,yellow,yellow,green,green,green,yellow,yellow,yellow,yellow,orange
2021-06-26 16:10,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:10,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:13,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:13,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:13,高濕,yellow,yellow,green,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,yellow
2021-06-26 16:13,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:13,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:14,高溫,yellow,orange,yellow,orange,yellow,red,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:14,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:14,高濕,yellow,yellow,green,yellow,green,yellow,yellow,yellow,yellow,orange,green,yellow
2021-06-26 16:14,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:14,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:16,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:16,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:16,高濕,green,yellow,yellow,yellow,green,green,green,yellow,yellow,yellow,yellow,orange
2021-06-26 16:16,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:16,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:18,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,red,yellow,orange,yellow,orange
2021-06-26 16:18,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:18,高濕,yellow,yellow,green,yellow,green,green,yellow,yellow,yellow,yellow,yellow,yellow
2021-06-26 16:18,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:18,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:19,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:19,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:19,高濕,yellow,yellow,yellow,yellow,green,green,yellow,yellow,yellow,yellow,yellow,orange
2021-06-26 16:19,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:19,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:22,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:22,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:22,高濕,green,yellow,green,yellow,green,green,green,yellow,green,orange,green,yellow
2021-06-26 16:22,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:22,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:23,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:23,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:23,高濕,yellow,yellow,yellow,yellow,green,yellow,green,yellow,yellow,yellow,yellow,yellow
2021-06-26 16:23,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:23,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:23,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:23,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:23,高濕,green,yellow,yellow,yellow,green,green,green,yellow,yellow,yellow,green,orange
2021-06-26 16:23,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:23,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:24,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:24,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:24,高濕,yellow,yellow,green,yellow,green,yellow,green,yellow,yellow,yellow,green,orange
2021-06-26 16:24,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:24,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:25,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:25,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:25,高濕,yellow,yellow,yellow,yellow,yellow,yellow,green,yellow,yellow,orange,green,yellow
2021-06-26 16:25,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:25,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:25,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:25,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:25,高濕,green,yellow,green,yellow,green,yellow,yellow,yellow,yellow,yellow,green,yellow
2021-06-26 16:25,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:25,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:26,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:26,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:26,高濕,yellow,yellow,yellow,yellow,green,yellow,green,yellow,yellow,yellow,yellow,yellow
2021-06-26 16:26,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:26,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:27,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:27,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:27,高濕,yellow,yellow,green,yellow,green,yellow,yellow,yellow,yellow,yellow,green,yellow
2021-06-26 16:27,強風,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:27,乾旱,green,green,green,green,green,green,green,green,green,green,green,green,green,green

2021-06-26 16:27,高溫,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange,yellow,orange
2021-06-26 16:27,低溫,green,green,green,green,green,green,green,green,green,green,green,green
2021-06-26 16:27,高濕,yellow,yellow,yellow,yellow,green,yellow,green,yellow,yellow,yellow,yellow,yellow
2021-06-26 16:27,強風,green,green,green,green,green,green,green,green,green,green,green,green
